Ticker,Market Cap
MAN,3362158336
MANU,2927505920
MAS,16602201088
MATV,986578304
MATX,4409297920
MAV,207816128
MAX,1114142720
MBC,2006419456
MBI,197479136
MC,4563887104
MCB,534125216
MCD,199772831744
MCI,371261408
MCK,71025393664
MCN,153306128
MCO,84982243328
MCR,267844992
MCS,428552352
MCW,2149817600
MCY,3365455360
MD,893862976
MDT,108507955200
MDU,5036033536
MDV,135959808
MEC,402492640
MED,200482544
MEG,1128559872
MEGI,700038848
MEI,379030784
MER,N/A
MET,51158740992
MFA,1211725184
MFAN,N/A
MFAO,N/A
MFC,46483193856
MFD,69148792
MFG,53993799680
MFM,229414944
MG,356240096
MGA,11717235712
MGF,103669424
MGM,11816652800
MGR,N/A
MGRB,N/A
MGRD,N/A
MGRE,N/A
MGY,4991938560
MHD,639256000
MHF,155022592
MHI,214733360
MHK,9241606144
MHLA,1320962560
MHN,324794784
MHNC,N/A
MHO,3966487296
MIN,310112640
MIO,205831792
MIR,2456961792
MITN,N/A
MITP,N/A
MITT,202321984
MIY,340046752
MKC,20729778176
MKFG,53860980
MKL,20046858240
ML,490401632
MLI,7758160896
MLM,32693368832
MLNK,1621918848
MLP,438489632
MLR,681157504
MMC,109125574656
MMD,465260480
MMI,1442666368
MMM,69795422208
MMS,5319646720
MMT,263814448
MMU,589173312
MNR,1925504256
MNSO,4802191360
MNTN,132144936
MO,87563214848
MOD,5732999680
MODG,2091700864
MOGU,18568182
MOH,20508241920
MOS,8832645120
MOV,536144544
MP,1966403968
MPA,160639792
MPC,60253159424
MPLN,153811456
MPLX,43262386176
MPV,166346784
MPW,2952984064
MPX,323916128
MQT,234396720
MQY,895764992
MRC,1062046720
MRDB,37827996
MRK,288131874816
MRO,15752224768
MS,164115726336
MSA,6955642880
MSB,220415984
MSC,1174786816
MSCI,44146642944
MSD,152638672
MSDL,1797156480
MSGE,1946340864
MSGS,4816288256
MSI,70301786112
MSM,4517901312
MT,17455476736
MTAL,877759104
MTB,27236190208
MTD,30079911936
MTDR,7053351936
MTG,6219023360
MTH,6530177024
MTN,6694437888
MTR,13156945
MTRN,2343166208
MTUS,714908800
MTW,343443264
MTX,2384344064
MTZ,8777687040
MUA,446741344
MUC,1056743424
MUE,227509888
MUFG,121702203392
MUI,899901184
MUJ,626520448
MUR,5647700992
MUSA,10481350656
MUX,460280352
MVF,469502624
MVO,107985000
MVT,234690752
MWA,3181354240
MX,185787712
MXE,41934000
MXF,235907248
MYD,512215200
MYE,533021888
MYI,763709248
MYN,402288608
MYTE,321733856
N,N/A
NABL,2369795072
NAC,1693247360
NAD,2803194112
NAN,352458912
NAPA,985248384
NAT,772545216
NATL,2045263488
NAZ,134796352
NBB,482368672
NBHC,1568659328
NBR,816788992
NBXG,963253184
NC,201551488
NCA,297973792
NCDL,931968896
NCLH,7074628608
NCV,304559008
NCZ,221496992
NDMO,649227968
NDP,64457924
NE,5498094592
NEA,3468307200
NEE,161488846848
NEM,57612460032
NEP,2388058368
NET,28149493760
NEU,5268317696
NEUE,41892700
NEXA,896612032
NFG,5396451840
NFJ,1196396160
NGG,62958804992
NGL,553904320
NGS,270781056
NGVC,558215232
NGVT,1307333248
